Actor_label,Country_label,Kpi_label_corporate,Fact_date,Kpi_value,,,
Hallmark+,USA,SVOD subscribers,2021-09-30,1157625,,,
Hallmark+,USA,SVOD subscribers,2021-12-31,1215506,,,
Hallmark+,USA,SVOD subscribers,2022-03-31,1276282,,,
Hallmark+,USA,SVOD subscribers,2022-06-30,1301807,,,
Hallmark+,USA,SVOD subscribers,2022-09-30,1327843,,,
Hallmark+,USA,SVOD subscribers,2022-12-31,1354400,,,
BlazeTV+,USA,SVOD subscribers,2021-03-31,457123,,,
BlazeTV+,USA,SVOD subscribers,2021-06-30,461694,,,
BlazeTV+,USA,SVOD subscribers,2021-09-30,466311,,,
BlazeTV+,USA,SVOD subscribers,2021-12-31,470974,,,
BlazeTV+,USA,SVOD subscribers,2022-03-31,475684,,,
BlazeTV+,USA,SVOD subscribers,2022-06-30,480441,,,
BlazeTV+,USA,SVOD subscribers,2022-09-30,485245,,,
BlazeTV+,USA,SVOD subscribers,2022-12-31,490098,,,
PaulaDeen.com,USA,SVOD subscribers,2021-03-31,41010,,,
PaulaDeen.com,USA,SVOD subscribers,2021-06-30,40600,,,
PaulaDeen.com,USA,SVOD subscribers,2021-09-30,40194,,,
PaulaDeen.com,USA,SVOD subscribers,2021-12-31,39792,,,
PaulaDeen.com,USA,SVOD subscribers,2022-03-31,39394,,,
PaulaDeen.com,USA,SVOD subscribers,2022-06-30,39000,,,
PaulaDeen.com,USA,SVOD subscribers,2022-09-30,38610,,,
PaulaDeen.com,USA,SVOD subscribers,2022-12-31,38224,,,
Met Opera on Demand,USA,SVOD subscribers,2021-03-31,30575,,,
Met Opera on Demand,USA,SVOD subscribers,2021-06-30,31187,,,
Met Opera on Demand,USA,SVOD subscribers,2021-09-30,31811,,,
Met Opera on Demand,USA,SVOD subscribers,2021-12-31,32447,,,
Met Opera on Demand,USA,SVOD subscribers,2022-03-31,33096,,,
Met Opera on Demand,USA,SVOD subscribers,2022-06-30,33758,,,
Met Opera on Demand,USA,SVOD subscribers,2022-09-30,34433,,,
Met Opera on Demand,USA,SVOD subscribers,2022-12-31,35121,,,
Acorn TV,USA,SVOD subscribers,2021-03-31,1745408,,,
Acorn TV,USA,SVOD subscribers,2021-06-30,1867587,,,
Acorn TV,USA,SVOD subscribers,2021-09-30,1998318,,,
Acorn TV,USA,SVOD subscribers,2021-12-31,2025000,,,
Acorn TV,USA,SVOD subscribers,2022-03-31,2137500,,,
Acorn TV,USA,SVOD subscribers,2022-06-30,2317500,,,
Acorn TV,USA,SVOD subscribers,2022-09-30,2407500,,,
Acorn TV,USA,SVOD subscribers,2022-12-31,2655000,,,
Gaia.com,USA,SVOD subscribers,2021-03-31,494765,,,
Gaia.com,USA,SVOD subscribers,2021-06-30,507134,,,
Gaia.com,USA,SVOD subscribers,2021-09-30,519812,,,
Gaia.com,USA,SVOD subscribers,2021-12-31,532807,,,
Gaia.com,USA,SVOD subscribers,2022-03-31,546128,,,
Gaia.com,USA,SVOD subscribers,2022-06-30,559781,,,
Gaia.com,USA,SVOD subscribers,2022-09-30,573775,,,
Gaia.com,USA,SVOD subscribers,2022-12-31,607200,,,
Rabbit TV Plus,USA,SVOD subscribers,2021-03-31,13659,,,
Rabbit TV Plus,USA,SVOD subscribers,2021-06-30,14281,,,
Rabbit TV Plus,USA,SVOD subscribers,2021-09-30,14931,,,
Fubo.tv USA,USA,SVOD subscribers,2021-03-31,531865,,,
Fubo.tv USA,USA,SVOD subscribers,2021-06-30,613549,,,
Fubo.tv USA,USA,SVOD subscribers,2021-09-30,850145,,,
Fubo.tv USA,USA,SVOD subscribers,2021-12-31,1017000,,,
Fubo.tv USA,USA,SVOD subscribers,2022-03-31,950621,,,
Fubo.tv USA,USA,SVOD subscribers,2022-06-30,852300,,,
Fubo.tv USA,USA,SVOD subscribers,2022-09-30,1107900,,,
Fubo.tv USA,USA,SVOD subscribers,2022-12-31,1300500,,,
FUNimation,USA,SVOD subscribers,2021-03-31,95878,,,
FUNimation,USA,SVOD subscribers,2021-06-30,97316,,,
FUNimation,USA,SVOD subscribers,2021-09-30,98776,,,
FUNimation,USA,SVOD subscribers,2021-12-31,100258,,,
FUNimation,USA,SVOD subscribers,2022-03-31,101762,,,
FUNimation,USA,SVOD subscribers,2022-06-30,103288,,,
FUNimation,USA,SVOD subscribers,2022-09-30,104837,,,
FUNimation,USA,SVOD subscribers,2022-12-31,106410,,,
YouTube Premium,USA,SVOD subscribers,2022-03-31,10378571,,,
YouTube Premium,USA,SVOD subscribers,2022-06-30,11620731,,,
YouTube Premium,USA,SVOD subscribers,2022-09-30,12862891,,,
YouTube Premium,USA,SVOD subscribers,2022-12-31,14105052,,,
YouTube Premium,USA,SVOD subscribers,2021-03-31,7828762,,,
YouTube Premium,USA,SVOD subscribers,2021-06-30,8270690,,,
YouTube Premium,USA,SVOD subscribers,2021-09-30,8712618,,,
YouTube Premium,USA,SVOD subscribers,2021-12-31,9154546,,,
Starz,USA,SVOD subscribers,2021-03-31,10000000,,,
Starz,USA,SVOD subscribers,2021-06-30,9700000,,,
Starz,USA,SVOD subscribers,2021-09-30,10400000,,,
Starz,USA,SVOD subscribers,2021-12-31,11000000,,,
Starz,USA,SVOD subscribers,2022-03-31,11500000,,,
Starz,USA,SVOD subscribers,2022-06-30,12200000,,,
Starz,USA,SVOD subscribers,2022-09-30,12300000,,,
Starz,USA,SVOD subscribers,2022-12-31,11600000,,,
Britbox,USA,SVOD subscribers,2021-03-31,1260184,,,
Britbox,USA,SVOD subscribers,2021-06-30,1386203,,,
Britbox,USA,SVOD subscribers,2021-09-30,1524823,,,
Britbox,USA,SVOD subscribers,2021-12-31,1601064,,,
Britbox,USA,SVOD subscribers,2022-03-31,1681117,,,
Britbox,USA,SVOD subscribers,2022-06-30,1765173,,,
Britbox,USA,SVOD subscribers,2022-09-30,1853432,,,
Britbox,USA,SVOD subscribers,2022-12-31,1946103,,,
AT&T TV Now,USA,SVOD subscribers,2021-03-31,625044,,,
AT&T TV Now,USA,SVOD subscribers,2021-06-30,602498,,,
PBS Passport,USA,SVOD subscribers,2021-03-31,180468,,,
PBS Passport,USA,SVOD subscribers,2021-06-30,178664,,,
PBS Passport,USA,SVOD subscribers,2021-09-30,176877,,,
PBS Passport,USA,SVOD subscribers,2021-12-31,175108,,,
PBS Passport,USA,SVOD subscribers,2022-03-31,173357,,,
PBS Passport,USA,SVOD subscribers,2022-06-30,171624,,,
PBS Passport,USA,SVOD subscribers,2022-09-30,169907,,,
